rho,x,direction,side_length,jacobi_cprime,normalized_S,shooting_residual,shooting_iterations,K,DeltaK,Kww,s2,s4,E6
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.3999999999999999999999999999999999999999999999999999999999999844424618,plus,0.005960052082888550326595077533490089013116261562092132844909760483570363,0.01499992707126221810030354704365858483291912072324849040555466389947722,0.1986693686767045788161904509501752674495735149737208960347725412200745,3.253570619219721835785081700939977279314088084540522980921370191109166e-57,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.3999999999999999999999999999999999999999999999999999999999999844424618,minus,0.005960051375433854472187777091062184989019047021692180719116677446842793,0.01499992517991768796093555630559485329245644007889456999653367118706868,0.1986693701450369579143577602461527883214011992505545356944377609071483,2.268046131948652682878007956218307260129139895143051094056710983678427e-57,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.3999999999999999999999999999999999999999999999999999999999999844424618,EVEN_DIAGNOSTIC,,,0.1986693694108707683652741055981640278854873571121377158646051510636114,,,0.1313402336224369283269333033989348976869302589853499939964452858607565,-0.1719347521618296157840786945162498327892591398488729487287192588251412,-0.2297795276692186150171792558663842768835885605000026960879073670087678,0.0001716481079939607625293734554065863746057088490751797711204648205028186,-0.00009905655424233806564317597967540714934786726194162827482551345888035179,-0.0000006739570239610264937170336282492684071244066417225618864650904462738765
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.7999999999999999999999999999999999999999999999999999999999999688849236,plus,0.01168250203325464851689835920436775705142662997970810258967937300217353,0.01499992707126221810030354704365858483291912072324849040555466389947722,0.3894186277624210487506111842333783350282513092723084879280300660187892,2.995094265951168209753266643034660879807356366725122136539784077296048e-52,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.7999999999999999999999999999999999999999999999999999999999999688849236,minus,0.01168250088223205700885143332874138848419350791259778692327202925093130,0.01499992517991768796093555630559485329245644007889456999653367118706868,0.3894186384967076446850703652060856495165480431621183467052194363995608,2.133702896500234641089814514151281063523774808803089984388437483865629e-52,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,0.7999999999999999999999999999999999999999999999999999999999999688849236,EVEN_DIAGNOSTIC,,,0.3894186331295643467178407747197319922723996762172134173166247512091750,,,0.1313402336224369283269333033989348976869302589853499939964452858607565,-0.1719347521618296157840786945162498327892591398488729487287192588251412,-0.2297795276692186150171792558663842768835885605000026960879073670087678,0.001292694036285946918993500123522726156086753285269483039750983160518435,-0.0006961836488339480920710259890914195264579688867907235132496117790958437,-0.000001059143737367563709123625131476042797347742356308411949745922676242290
0.01500000000000000000000000000000000000000000000000000000000000038893845,1.200000000000000000000000000000000000000000000000000000000000031115076,plus,0.01693921797332426732012238026443735353103411522511594339684125083199843,0.01499992707126221810030354704365858483291912072324849040555466389947722,0.5646433443592356486433926492706610116012429337912374768361635226807627,1.628679721980579560148422740455999909305177530541410888323265059876225e-49,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,1.200000000000000000000000000000000000000000000000000000000000031115076,minus,0.01693921677252789034147226879612168882544605121024079158617872330376562,0.01499992517991768796093555630559485329245644007889456999653367118706868,0.5646433755285186108055051760402276434786634693047510587722254438833646,1.201890717607105118983668154100904192915932401267738496189150868492045e-49,18,,,,,,
0.01500000000000000000000000000000000000000000000000000000000000038893845,1.200000000000000000000000000000000000000000000000000000000000031115076,EVEN_DIAGNOSTIC,,,0.5646433599438771297244489126554443275399532015479942678041944832820637,,,0.1313402336224369283269333033989348976869302589853499939964452858607565,-0.1719347521618296157840786945162498327892591398488729487287192588251412,-0.2297795276692186150171792558663842768835885605000026960879073670087678,0.003940643656431868181745407387874633772341301317054124356801971539177821,-0.001895922231025409624257698815262882030409451067851701427363158913716144,0.00001214146053763583386786591163720608172246140494238508684666483886293426
0.01800000000000000000000000000000000000000000000000000000000000095289921,0.3999999999999999999999999999999999999999999999999999999999999844424618,plus,0.007152047922918174497207292719495273242304134340565506093891068565117980,0.01799987430936497581312597646572857647682076989099539218792070151289007,0.1986693851300146724942656640950305770300067162289176351603704330638084,7.478486723430423169295798315094711736619522797981669395221589208830950e-56,18,,,,,,
