geometry_id,x,r,t,s6,K_w^2,P_Kw2,s6_fit_rms
8,0.5,0.968912421710644784144595449494189199804134190287442831148128,0.938791280945186358058140791301914825995822598554872026498805,0.0000521064968599957450628336398799729618825761832563307995683765,0.0108088868386320659294165828046982115141181506316717826790484,-0.0197243250779334899738904732426653291850013685131678083491133,1.42810352345406711971693704932e-27
8,0.6,0.955336489125606019642310227568049898244214082632037674517614,0.912667807454839148620476249477688019439045519594235190684875,0.0000827292912649519975822456556678932315945491704609546437398793,0.0108088868386320659294165828046982115141181506316717826790484,-0.0182652882215357989340155380718118792356624424897572965034564,6.77509075595309880053738364581e-28
8,0.7,0.939372712847378920035032357303665582974061046413034143828972,0.882421093642244213127929995095932454634105275186851678036466,0.000118616184948616127847058261821198404090329072525190618400597,0.0108088868386320659294165828046982115141181506316717826790484,-0.0166304030808969701071821590096778059651672606516528159951193,3.28665161683550362478286151711e-27
8,0.9,0.900447102352676921668840611486446439757623092728769156133547,0.810804984135332228242358075703566754360880683295619503788192,0.000193968547378129517432602207501396710868981910478157770916246,0.0108088868386320659294165828046982115141181506316717826790484,-0.0129925572448744567074812016961859841372324818809278221373457,2.62549872487794017492177552692e-26
8,1.0,0.877582561890372716116281582603829651991645197109744052997611,0.770151152934069858700468303721488301866155210308961113835049,0.000225815677487836274516573962016675970017637850788912719513077,0.0108088868386320659294165828046982115141181506316717826790484,-0.0110734909546374999979066521310497347980673529881282130726972,4.33127796123494381600588217014e-26
8,1.1,0.852524522059505742804981797617773051040319000792237671668655,0.726798060712788693885685025892358061060733647831297523727969,0.00024852109371446500061320094110123142030274250688637514856877,0.0108088868386320659294165828046982115141181506316717826790484,-0.00914365393564130744407630786286195960850494949654506502281389,5.8893921251169600559484103161e-26
8,1.3,0.796083798549055828917604570679905873510495893814292448238342,0.633749414312293703498992054646435679637964960839564830958627,0.000253770515712513746804424154673451172229948245805959336470962,0.0108088868386320659294165828046982115141181506316717826790484,-0.00540883404431592742985195849367883562471626774542741240565006,6.55259708532247437152455697725e-26
8,1.4,0.764842187284488426255859990191864909268210550373703356072932,0.584983571450120469308374017601824901464091960514267154491183,0.000232504752228756795121543666636795346294796878313244711384374,0.0108088868386320659294165828046982115141181506316717826790484,-0.00367377246366993515030943014983733652990743652344380641701819,5.15964027584454638721514113465e-26
9,0.5,0.968912421710644784144595449494189199804134190287442831148128,0.938791280945186358058140791301914825995822598554872026498805,-0.0000136139700235045635297621497008090014918257631032834722696099,0.147319079254229471138204265032719355106008252877181082762295,-0.0197243250779334822417806059153420855623402759884472259246104,1.09662283684469821839451349359e-26
9,0.6,0.955336489125606019642310227568049898244214082632037674517614,0.912667807454839148620476249477688019439045519594235190684875,-0.0000186872194572314358872122342020758309070051211891071569827031,0.147319079254229471138204265032719355106008252877181082762295,-0.018265288221535792360010699124130361358644546412729279820194,1.66588799768066397516218399875e-26
9,0.7,0.939372712847378920035032357303665582974061046413034143828972,0.882421093642244213127929995095932454634105275186851678036466,-0.0000213265737665959358772133175392636543155206915846411404882549,0.147319079254229471138204265032719355106008252877181082762295,-0.0166304030808969648173527710087699542586497935027146642756172,2.16771760830992681627473837935e-26
9,0.9,0.900447102352676921668840611486446439757623092728769156133547,0.810804984135332228242358075703566754360880683295619503788192,-0.00000813494557370614632641904165363385599662435574051863837339921,0.147319079254229471138204265032719355106008252877181082762295,-0.0129925572448744542164438773049174103298842422471954190434015,1.86921088709920835145046653029e-26
9,1.0,0.877582561890372716116281582603829651991645197109744052997611,0.770151152934069858700468303721488301866155210308961113835049,0.0000138134022643953075017492447795306507823874682267314227108023,0.147319079254229471138204265032719355106008252877181082762295,-0.0110734909546374989446712634809889847465893008855045160971775,3.44642320413939385583362035375e-27
9,1.1,0.852524522059505742804981797617773051040319000792237671668655,0.726798060712788693885685025892358061060733647831297523727969,0.0000497662406861100871765417044806436863536464427118387894920459,0.147319079254229471138204265032719355106008252877181082762295,-0.00914365393564130780370611118720159518990348401192532919698595,2.54465435644590565251558762499e-26
9,1.3,0.796083798549055828917604570679905873510495893814292448238342,0.633749414312293703498992054646435679637964960839564830958627,0.000171069150450677668080828730235378061142101587150497448873511,0.147319079254229471138204265032719355106008252877181082762295,-0.00540883404431593040197892329588294566309143468528879646734018,1.26189266641054346485929779086e-25
9,1.4,0.764842187284488426255859990191864909268210550373703356072932,0.584983571450120469308374017601824901464091960514267154491183,0.000257535618612621491989092628219920364519854881517747844057056,0.147319079254229471138204265032719355106008252877181082762295,-0.00367377246366993926250420738956662898473256006300856242790777,1.90399219400496697433816715342e-25
