geometry_id,R,minor_radius,theta,beta,x,s6,s6_fit_02,nested_small,nested_spread,fit_rms_024,fit_rms_02,fit_rms_nested,normalized_rhs,prediction_fit21,residual_fit21,prediction_all30,residual_all30,role
1,3.000000000000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000000000000,1.099999999999999999999999999999999999999999999999999999999999937769847,0.0,0.3999999999999999999999999999999999999999999999999999999999999844424618,-0.0000006738776793179516693558133250296953924041081641011125674828014069653142,-0.0000006738777594585623164511503394152873649680630938225815808586178524169353,-0.0000006738776793187570441769406975768019302778859871564547059934147246922261,0.0000000000000000008053748211273725471065378737778230553421385106133177269118738655681378,0.0000000000000000002103212855920650600283444354932149317117291928389743468135079531107170,0.00000000000002634679334463457583076770477808824154319324621309298965345457481793569,0.00000000000000000005063285684512590009573815006536380423888409290710753479328218317290368,-0.00009840763339097284457537340992659147391362715918931400233602197231926731,-0.00009840763339097284457537340992659147391362715918931400233602204828380927,-7.596454196607838997978593815649565723376772666895955973023823992663207e-65,-0.00009840763339093956531488386349335354763437580911166766255607445947316780,0.00000000000000003327926048954643323792627925135007764633977994751284609951167460852826,FIT
1,3.000000000000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000000000000,1.099999999999999999999999999999999999999999999999999999999999937769847,0.0,0.7999999999999999999999999999999999999999999999999999999999999688849236,-0.000001058979034814084847240468114474418354499606060375945723765337301518220,-0.000001058979644712124516739653388126571425560180811727302372987650773944256,-0.000001058979034817649194279053049335535093928755350724800220749604336912614,0.000000000000000003564347038584934861116739429149290348854496984267035394394279067648124,0.0000000000000000009308639697130600983975578614063220320791305206260578132677103759135456,0.0000000000002005083001287764143300362344423702277503491299099933311054530301748551,0.0000000000000000002243106951996247905243155616640494615980456448201271985129350768490835,-0.00001986207663724283788991264877329223615442519268396937933190447577451608,-0.00001986207663724283788991264877329223615442519268396937933190445678338059,1.899113549151959749494648453912391430844193166723988993255955998165802e-65,-0.00001986207663638442994463308815729345213581234540435461676999390142325100,0.0000000000000008584079452795606159987840186128472796147625619105743512650761342798721,FIT
1,3.000000000000000000000000000000000000000000000000000000000000000000000,1.000000000000000000000000000000000000000000000000000000000000000000000,1.099999999999999999999999999999999999999999999999999999999999937769847,0.0,1.200000000000000000000000000000000000000000000000000000000000031115076,0.00001214043783506340132971904178338620074648871728246671771400091632115433,0.00001214043663947919782557599844175509015800836779217492214976288768202395,0.00001214043783505382557178347205980196880818638979912806786895838002102617,0.000000000000000009575757935569723584231938302327483338649845042536300128156960895857746,0.000000000000000002500858914031661894360952076620790153152698551760008416933613445527449,0.0000000000003930567746005665700994655048712384427174424113428732534838834670582356,0.0000000000000000006029002571557940412757827239848296878969348392117079489979569523766251,0.00007649259006761419315583300857114285185058539994213236643070030156510779,0.00007649259006761419315583300857114285185058539994213236643070025408726906,-4.747783872879899373736621134780978577110482916809972483139889995414504e-65,0.00007649259006791802620924440828224715100439599686130305670187591088779595,0.0000000000000003038330534113997111042991538105969191706902711756093226881567058666907,FIT
2,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.400000000000000000000000000000000000000000000000000000000000062230153,0.3999999999999999999999999999999999999999999999999999999999999844424618,0.00001347396988853585879356746810935144936999628306020744476622703131633162,0.00001347396967252412996438809529000951497746465234756550189688898519194722,0.00001347396988854354421943343112685102426905631634983043360476396088619969,0.000000000000000007685425865963017499574899060033289622988838536929569868070244761048907,0.000000000000000002006982383495010312464634081337147322212241533846508048419571654069584,0.00000000000007101538577778918335385070135305959121382898794269947027512369127889157,0.0000000000000000004829524271001824441121758324025866522363556975232273044342815127638249,0.001776499938170919784437075566305188437919568759610917011963960096480448,0.001776499938170919784437075566305188437919568759610917011963960096480448,0.0,0.001776499938170925082162140002266927456395410222656469436524119183212275,0.000000000000000005297725064435961739018475841463045552424560159086731827619345883280347,FIT
2,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.400000000000000000000000000000000000000000000000000000000000062230153,0.7999999999999999999999999999999999999999999999999999999999999688849236,0.00006540200519225158625738686280678978429383362633899999440035749581686370,0.00006540200369519445702191262791639763153246261595528752391842642755246308,0.00006540200519234647209149552166313483996044651913737892860452586079378419,0.00000000000000009488583410865885634505566661289279837893420416836497692049368969740851,0.00000000000000002477883961384279604443213336781361989813847478265700194917887062511194,0.0000000000004921681347238447547698186009824825678817911818097889012176566431658147,0.000000000000000005963756325807120224177409288371163949664078649363653191221804649705716,0.001116499665762130325057748522881615779099267524519454298857497488214121,0.001116499665762130325057748522881615779099267524519454298857497336285038,-1.519290839321567799595718763129913144675354533379191194604764798532641e-64,0.001116499665762193534180617202762681267594119039333625218231599647879403,0.00000000000000006320912286867988106548849485151481417091937410215966528154186419901399,FIT
2,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.000000000000000000000000000000000000000000000000000000000000000000000,1.400000000000000000000000000000000000000000000000000000000000062230153,1.200000000000000000000000000000000000000000000000000000000000031115076,0.00006753007361763256272885096990901102575352310018486355237435005877607525,0.00006753007102680616457515851592999181943480110167266825319117272827130663,0.00006753007361781120901592832281050818865556347227846371235026891262354744,0.0000000000000001786462870773529014971629020403720936001599759188538474721896301190719,0.00000000000000004665239278893677838480316460161010707306992277849625341682596776436428,0.0000000000008517525291238628373900036315851734819049164214432621165487267485825687,0.00000000000000001122844547054471111000475300263449453133171312605786563759155180842052,0.0003328807868972099321716609887363998721001664547424373491802642633655294,0.0003328807868972099321716609887363998721001664547424373491802641494187164,-1.139468129491175849696789072347434858506515900034393395953573598899481e-64,0.0003328807868973161455842923574569550567024462156993656818929907166888380,0.0000000000000001062134126313687205551846022797609569283327127264533233086105576325397,FIT
3,5.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.500000000000000000000000000000000000000000000000000000000000000000000,0.0,0.3999999999999999999999999999999999999999999999999999999999999844424618,-0.00001416944034233172250295527743201853986148413024412495514777405761615960,-0.00001416944022871478336876564413227327610033549628580718796534084452748213,-0.00001416944034237699048882791011476389210970755590347858555203692829631025,0.00000000000000004526798587263268274535224822342565935363040426287068015064454033023317,0.00000000000000001182157708532598481798655368155914662848949314601503680226179071919891,0.00000000000003735237529975138157665146954278794221954985983883495238015901963531114,0.000000000000000002845812196850840795242333767713126649777289742772666787544356542712149,-0.001712698002151177637074068755680322878275122149890005792968227917870177,-0.001712698002151177637074068755680322878275122149890005792968227917870177,0.0,-0.001712698002151153663919314838340926345741872387485773975021568542538306,0.00000000000000002397315475391733939653253324976240423181794665937533187171413361116664,FIT
3,5.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.500000000000000000000000000000000000000000000000000000000000000000000,0.0,0.7999999999999999999999999999999999999999999999999999999999999688849236,-0.0001027868843619930367123570533206023010740225103079106345282802376841603,-0.0001027868838762617295556235875508316561018117780611984993324572168357814,-0.0001027868843623835077686212652037306951554627582575441933905509030991826,0.0000000000000003904710562642118831283940814402479496335588622706654150222440133669061,0.0000000000000001019707755662083049894689981704753879685009938611239361967454238028618,0.0000000000001596876399631792947183263051509074679251759977005050942468568058973705,0.00000000000000002455038640700133242016077612209609757337316160349453226834657211269170,-0.001725962541612605925648056025675679056081300618486341564315904351382393,-0.001725962541612605925648056025675679056081300618486341564315904807169644,-4.557872517964703398787156289389739434026063600137573583814294395597924e-64,-0.001725962541612703620371943715472673459366876135868404340568941840086594,-0.00000000000000009769472388768979699440328557551738206277625303748870420102119464907729,FIT
3,5.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,2.500000000000000000000000000000000000000000000000000000000000000000000,0.0,1.200000000000000000000000000000000000000000000000000000000000031115076,-0.0002966303347278075947898335924335981453961825071451415087052276147335146,-0.0002966303371717529426072141708077130366295600533442964696594059900307511,-0.0002966303347283321953436367262169674407940875019258587521738222556253129,0.0000000000000005246005538031337833692953979049947807172434685946408917983387706725032,0.0000000000000001370009797542251099991736306760186831570355359970366624506449810153775,0.0000000000008034643539475838359036678778394070367249954318240172288469976776252688,0.00000000000000003299627273186104531314625957324699513198869726887590412405886677155320,-0.001716238561493794875048918167826328460634226790530833038343106707498327,-0.001716238561493794875048918167826328460634226790530833038343107011356495,-3.038581678643135599191437526259826289350709066758382389209529597065283e-64,-0.001716238561493994282873829496974095378312467656217169426550230689766186,-0.0000000000000001994078249113291477669176782408656863363882071239822678585000921236858,FIT
4,3.000000000000000000000000000000000000000000000000000000000000000000000,0.7000000000000000000000000000000000000000000000000000000000000311150764,0.7000000000000000000000000000000000000000000000000000000000000311150764,1.400000000000000000000000000000000000000000000000000000000000062230153,0.3999999999999999999999999999999999999999999999999999999999999844424618,-0.000003176170088668573461159166255668277581579292199004228999693907906110983,-0.000003176170065767686968030699012115754152945528746003556016200804426030835,-0.000003176170088669219229031584170285109714429569358337331935940491972578490,0.0000000000000000006457678724179146168321328502771593331029362465840664675067016388902876,0.0000000000000000001686375327881732328491053733054474749434403747187679083727118860512288,0.000000000000007528828631372430398334892683878071059955752871465889073705844897815788,0.00000000000000000004058430105782032166725451498998817020576473197407805249700152636574502,-0.0005675126067896309296911178927458210128774077633864369702338924492907426,-0.0005675126067896309296911178927458210128774077633864369702338925252552846,-7.596454196607838997978593815649565723376772666895955973023823992663207e-65,-0.0005675126067896774003289722689260489075742717600874999726566785791629292,-0.00000000000000004647063785437618022789469686399670106300242278612987218654932267327000,FIT
